id	x	y	z
1	1	50	1.136205238
2	2	50	1.257252938
3	3	50	1.360528801
4	4	50	1.443683883
5	5	50	1.50468546
6	6	50	1.541862626
7	7	50	1.553945609
8	8	50	1.540097964
9	9	50	1.499940889
10	10	50	1.433569098
11	11	50	1.341557812
12	12	50	1.224960622
13	13	50	1.085298149
14	14	50	0.924537608
15	15	50	0.745063558
16	16	50	0.549640306
17	17	50	0.341366593
18	18	50	0.123623346
19	19	50	-0.099984566
20	20	50	-0.325691523
21	21	50	-0.549638132
22	22	50	-0.767940738
23	23	50	-0.976762177
24	24	50	-1.172382422
25	25	50	-1.351267786
26	26	50	-1.510137338
27	27	50	-1.646025269
28	28	50	-1.756337969
29	29	50	-1.838904715
30	30	50	-1.892020949
31	31	50	-1.91448328
32	32	50	-1.905615497
33	33	50	-1.865285044
34	34	50	-1.793909581
35	35	50	-1.692453458
36	36	50	-1.562414108
37	37	50	-1.405798566
38	38	50	-1.225090498
39	39	50	-1.023208323
40	40	50	-0.803455167
41	41	50	-0.569461554
42	42	50	-0.325121883
43	43	50	-0.07452585
44	44	50	0.178113917
45	45	50	0.428536674
46	46	50	0.672509433
47	47	50	0.905902485
48	48	50	1.124763169
49	49	50	1.325386503
50	50	50	1.50438137
51	1	49	1.836668214
52	2	49	1.886279605
53	3	49	1.9053037
54	4	49	1.893108052
55	5	49	1.849602566
56	6	49	1.775245507
57	7	49	1.671039445
58	8	49	1.538517145
59	9	49	1.379717622
60	10	49	1.197152749
61	11	49	0.993765005
62	12	49	0.772877106
63	13	49	0.538134439
64	14	49	0.293441331
65	15	49	0.042892342
66	16	49	-0.209300179
67	17	49	-0.458880903
68	18	49	-0.701627335
69	19	49	-0.933425204
70	20	49	-1.150342033
71	21	49	-1.348697514
72	22	49	-1.525129373
73	23	49	-1.676653497
74	24	49	-1.800717208
75	25	49	-1.89524467
76	26	49	-1.95867362
77	27	49	-1.989982703
78	28	49	-1.988708946
79	29	49	-1.95495503
80	30	49	-1.889386253
81	31	49	-1.793217251
82	32	49	-1.668188746
83	33	49	-1.51653478
84	34	49	-1.34094106
85	35	49	-1.144495225
86	36	49	-0.930629978
87	37	49	-0.70306018
88	38	49	-0.465715082
89	39	49	-0.222666997
90	40	49	0.021942259
91	41	49	0.263975753
92	42	49	0.499375288
93	43	49	0.724233309
94	44	49	0.934861561
95	45	49	1.127855221
96	46	49	1.300151331
97	47	49	1.449080485
98	48	49	1.572410846
99	49	49	1.668383715
100	50	49	1.735740071
101	1	48	1.951674823
102	2	48	1.882591037
103	3	48	1.782995103
104	4	48	1.654671279
105	5	48	1.499895403
106	6	48	1.321392706
107	7	48	1.122287565
108	8	48	0.906046172
109	9	48	0.676413191
110	10	48	0.437343617
111	11	48	0.192931128
112	12	48	-0.052665743
113	13	48	-0.295298204
114	14	48	-0.530901182
115	15	48	-0.755565317
116	16	48	-0.965605622
117	17	48	-1.157625558
118	18	48	-1.328575342
119	19	48	-1.475803451
120	20	48	-1.597100389
121	21	48	-1.690733956
122	22	48	-1.755475428
123	23	48	-1.790616216
124	24	48	-1.795974773
125	25	48	-1.771893702
126	26	48	-1.719227206
127	27	48	-1.6393192
128	28	48	-1.53397259
129	29	48	-1.405410382
130	30	48	-1.256229449
131	31	48	-1.089347899
132	32	48	-0.907947113
133	33	48	-0.715409633
134	34	48	-0.515254106
135	35	48	-0.311068579
136	36	48	-0.106443441
137	37	48	0.095094701
138	38	48	0.290146951
139	39	48	0.475502649
140	40	48	0.648195373
141	41	48	0.805553381
142	42	48	0.945243608
143	43	48	1.065308433
144	44	48	1.164194602
145	45	48	1.240773867
146	46	48	1.294355037
147	47	48	1.324687341
148	48	48	1.331955173
149	49	48	1.316764433
150	50	48	1.280120886
151	1	47	1.401338284
152	2	47	1.248749414
153	3	47	1.078561956
154	4	47	0.89399836
155	5	47	0.698480267
156	6	47	0.495562967
157	7	47	0.288868249
158	8	47	0.082016929
159	9	47	-0.121437637
160	10	47	-0.318073797
161	11	47	-0.504662392
162	12	47	-0.678222963
163	13	47	-0.836074345
164	14	47	-0.975878754
165	15	47	-1.095678578
166	16	47	-1.193925283
167	17	47	-1.269499952
168	18	47	-1.321725199
169	19	47	-1.350368331
170	20	47	-1.355635843
171	21	47	-1.338159456
172	22	47	-1.298974144
173	23	47	-1.239488667
174	24	47	-1.161449344
175	25	47	-1.066897884
176	26	47	-0.958124217
177	27	47	-0.837615356
178	28	47	-0.708001387
179	29	47	-0.571999727
180	30	47	-0.432358818
181	31	47	-0.291802401
182	32	47	-0.152975525
183	33	47	-0.018393354
184	34	47	0.109606219
185	35	47	0.228905212
186	36	47	0.337642672
187	37	47	0.434245556
188	38	47	0.517452866
189	39	47	0.586332611
190	40	47	0.64029139
191	41	47	0.679076485
192	42	47	0.702770574
193	43	47	0.71177928
194	44	47	0.706811949
195	45	47	0.688856189
196	46	47	0.659146817
197	47	47	0.619129982
198	48	47	0.570423332
199	49	47	0.514773163
200	50	47	0.45400954
201	1	46	0.567937624
202	2	46	0.425038711
203	3	46	0.281323062
204	4	46	0.139473806
205	5	46	0.002042343
206	6	46	-0.128599464
207	7	46	-0.250302328
208	8	46	-0.361177014
209	9	46	-0.459625543
210	10	46	-0.544365602
211	11	46	-0.614447745
212	12	46	-0.669265154
213	13	46	-0.708555877
214	14	46	-0.73239762
215	15	46	-0.741195337
216	16	46	-0.735661991
217	17	46	-0.716793027
218	18	46	-0.685835204
219	19	46	-0.644250558
220	20	46	-0.593676367
221	21	46	-0.535882043
222	22	46	-0.472723976
223	23	46	-0.406099334
224	24	46	-0.337899887
225	25	46	-0.26996687
226	26	46	-0.204047904
227	27	46	-0.141756901
228	28	46	-0.084537848
229	29	46	-0.033633226
230	30	46	0.009942247
231	31	46	0.045422016
232	32	46	0.072301809
233	33	46	0.090347215
234	34	46	0.099594598
235	35	46	0.100345374
236	36	46	0.093153827
237	37	46	0.078808793
238	38	46	0.058309668
239	39	46	0.032837324
240	40	46	0.003720637
241	41	46	-0.027600573
242	42	46	-0.059615318
243	43	46	-0.090782994
244	44	46	-0.119575721
245	45	46	-0.144520484
246	46	46	-0.164240077
247	47	46	-0.177491879
248	48	46	-0.183203536
249	49	46	-0.18050471
250	50	46	-0.168754109
251	1	45	0.03037606
252	2	45	-0.016368768
253	3	45	-0.054937326
