id	x	y	z
1	1	1	-8
2	2	1	-8
3	3	1	-8
4	4	1	-8
5	5	1	-8
6	6	1	-8
7	7	1	-8
8	8	1	-8
9	9	1	-8
10	10	1	-8
11	11	1	-8
12	12	1	-8
13	13	1	-8
14	14	1	-8
15	15	1	-8
16	16	1	-8
17	17	1	-8
18	18	1	-8
19	19	1	-8
20	20	1	-8
21	21	1	-8
22	22	1	-8
23	23	1	-8
24	24	1	-8
25	25	1	-8
26	26	1	-8
27	27	1	-8
28	28	1	-8
29	29	1	-8
30	30	1	-8
31	31	1	-8
32	32	1	-8
33	33	1	-8
34	34	1	-8
35	35	1	-8
36	36	1	-8
37	37	1	-8
38	38	1	-8
39	39	1	-8
40	40	1	-8
41	41	1	-8
42	42	1	-8
43	43	1	-8
44	44	1	-8
45	45	1	-8
46	46	1	-8
47	47	1	-8
48	48	1	-8
49	49	1	-8
50	50	1	-8
51	1	2	-8
52	2	2	-8
53	3	2	-8
54	4	2	-8
55	5	2	-8
56	6	2	-8
57	7	2	-8
58	8	2	-8
59	9	2	-8
60	10	2	-8
61	11	2	-8
62	12	2	-8
63	13	2	-8
64	14	2	-8
65	15	2	-8
66	16	2	-8
67	17	2	-8
68	18	2	-8
69	19	2	-8
70	20	2	-8
71	21	2	-8
72	22	2	-8
73	23	2	-8
74	24	2	-8
75	25	2	-8
76	26	2	-8
77	27	2	-8
78	28	2	-8
79	29	2	-8
80	30	2	-8
81	31	2	-8
82	32	2	-8
83	33	2	-8
84	34	2	-8
85	35	2	-8
86	36	2	-8
87	37	2	-8
88	38	2	-8
89	39	2	-8
90	40	2	-8
91	41	2	-8
92	42	2	-8
93	43	2	-8
94	44	2	-8
95	45	2	-8
96	46	2	-8
97	47	2	-8
98	48	2	-8
99	49	2	-8
100	50	2	-8
101	1	3	-8
102	2	3	-8
103	3	3	-8
104	4	3	-8
105	5	3	-8
106	6	3	-8
107	7	3	-8
108	8	3	-8
109	9	3	-8
110	10	3	-8
111	11	3	-8
112	12	3	-8
113	13	3	-8
114	14	3	-8
115	15	3	-8
116	16	3	-8
117	17	3	-8
118	18	3	-8
119	19	3	-8
120	20	3	-8
121	21	3	-8
122	22	3	-8
123	23	3	-8
124	24	3	-8
125	25	3	-8
126	26	3	-8
127	27	3	-8
128	28	3	-8
129	29	3	-8
130	30	3	-8
131	31	3	-8
132	32	3	-8
133	33	3	-8
134	34	3	-8
135	35	3	-8
136	36	3	-8
137	37	3	-8
138	38	3	-8
139	39	3	-8
140	40	3	-8
141	41	3	-8
142	42	3	-8
143	43	3	-8
