fid	x	y-1	DEM	y
1	15.1424	7.9855	-0.30726	8.9855
2	15.0946	8.5120	-0.49614	9.5120
3	15.2381	9.0384	-0.67707	10.0384
4	15.2860	9.5169	-0.72967	10.5169
5	15.4296	10.2348	-0.6489	11.2348
6	15.4774	11.0005	-0.29845	12.0005
7	15.6688	11.6705	0.03699	12.6705
8	15.9081	12.5798	0.34989	13.5798
9	15.9081	13.2976	0.4477	14.2976
10	16.0517	14.0155	0.32174	15.0155
11	16.3388	14.7333	0.03918	15.7333
12	16.6738	15.4512	-0.33411	16.4512
13	17.1524	16.2169	-0.76098	17.2169
14	17.4395	16.9826	-0.99435	17.9826
15	17.6310	17.7483	-0.93132	18.7483
16	17.8702	18.7054	-0.59159	19.7054
17	18.1095	19.4232	-0.17215	20.4232
18	18.3488	20.0932	0.08799	21.0932
19	18.7317	20.7154	0.24493	21.7154
20	19.1145	21.2418	0.27904	22.2418
