fid,DEM,x,y
"1",-0.30726,15.1424204156051,8.98553960665597
"2",-0.49614,15.0945639099633,9.51196116871541
"3",-0.67707,15.2381334268886,10.0383827307749
"4",-0.72967,15.2859899325304,10.5169477871925
"5",-0.6489,15.4295594494557,11.2347953718191
"6",-0.29845,15.4774159550975,12.0004994620873
"7",0.03699,15.6688419776645,12.6704905410721
"8",0.34989,15.9081245058734,13.5797641482657
"9",0.4477,15.9081245058734,14.2976117328922
"10",0.32174,16.0516940227987,15.0154593175187
"11",0.03918,16.3388330566493,15.7333069021452
"12",-0.33411,16.6738285961417,16.4511544867717
"13",-0.76098,17.1523936525594,17.21685857704
"14",-0.99435,17.43953268641,17.9825626673083
"15",-0.93132,17.630958708977,18.7482667575766
"16",-0.59159,17.8702412371859,19.705396870412
"17",-0.17215,18.1095237653947,20.4232444550385
"18",0.08799,18.3488062936035,21.0932355340232
"19",0.24493,18.7316583387377,21.7153701073662
"20",0.27904,19.1145103838718,22.2417916694257
"21",0.14234,19.5452189346477,22.7682132314851
"22",-0.14837,20.1673535079907,23.3903478048281
"23",-0.46498,20.5980620587666,23.8689128612458
"24",-0.88891,21.0766271151843,24.4910474345887
"25",-1.26969,21.555192171602,25.06532550229
"26",-1.5081,22.1294702393032,25.5917470643494
"27",-1.71546,22.6558918013627,26.2617381433342
"28",-1.74619,23.1823133634221,26.8360162110354
"29",-1.52672,23.6608784198398,27.5538637956619
"30",-1.04489,24.0437304649739,28.1759983690049
