fid	x	y	DEM
1	15.14242042	8.985539607	-0.30726
2	15.09456391	9.511961169	-0.49614
3	15.23813343	10.03838273	-0.67707
4	15.28598993	10.51694779	-0.72967
5	15.42955945	11.23479537	-0.6489
6	15.47741596	12.00049946	-0.29845
7	15.66884198	12.67049054	0.03699
8	15.90812451	13.57976415	0.34989
9	15.90812451	14.29761173	0.4477
10	16.05169402	15.01545932	0.32174
11	16.33883306	15.7333069	0.03918
12	16.6738286	16.45115449	-0.33411
13	17.15239365	17.21685858	-0.76098
14	17.43953269	17.98256267	-0.99435
15	17.63095871	18.74826676	-0.93132
16	17.87024124	19.70539687	-0.59159
17	18.10952377	20.42324446	-0.17215
18	18.34880629	21.09323553	0.08799
19	18.73165834	21.71537011	0.24493
20	19.11451038	22.24179167	0.27904
21	19.54521893	22.76821323	0.14234
22	20.16735351	23.3903478	-0.14837
23	20.59806206	23.86891286	-0.46498
24	21.07662712	24.49104743	-0.88891
25	21.55519217	25.0653255	-1.26969
26	22.12947024	25.59174706	-1.5081
27	22.6558918	26.26173814	-1.71546
28	23.18231336	26.83601621	-1.74619
29	23.66087842	27.5538638	-1.52672
30	24.04373046	28.17599837	-1.04489
